file_size,file_entropy,num_strings,mean_section_entropy,max_section_entropy,num_imports,suspicious_imports,crypto_api_detected,label,family,filename
4766752,7.981430083800899,55777,4.280056838525944,6.4174599871908855,164,0,0,0,,notepad-plus-plus_v8.5.1_npp.8.5.1.Installer.x64.exe
4691480,7.9808950039863085,54926,4.280058619944105,6.4174599871908855,164,0,0,0,,notepad-plus-plus_v8.6.1_npp.8.6.1.Installer.exe
405948616,7.998838606225224,4714587,4.660025661535091,6.748278735648908,237,1,1,0,,PowerToys_v0.91.1_PowerToysSetup-0.91.1-x64.exe
320646304,7.999929988566953,3824602,3.2113995889398623,6.357635049994181,142,1,0,0,,gimp-2.10.36-setup.exe
4662072,7.980756087008145,54872,4.280055294906062,6.4174599871908855,164,0,0,0,,notepad-plus-plus_v8.5.4_npp.8.5.4.Installer.x64.exe
6283792,7.988240063670885,73727,4.279724916830299,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.7.1_npp.8.7.1.Installer.arm64.exe
6371448,7.988541394884166,74592,4.2797303582396236,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.7.9_npp.8.7.9.Installer.arm64.exe
284098168,7.997055270375452,3256162,4.660489490170843,6.748278735648908,237,1,1,0,,PowerToys_v0.88.0_PowerToysUserSetup-0.88.0-arm64.exe
4691928,7.981066903363457,54765,4.280059104210972,6.4174599871908855,164,0,0,0,,notepad-plus-plus_v8.6.2_npp.8.6.2.Installer.exe
4832328,7.981888616850151,56851,4.279717036071612,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.6.8_npp.8.6.8.Installer.exe
1783200,7.955817712928208,20474,2.9938299416599294,6.3752135040515485,122,1,0,0,,Greenshot-INSTALLER-1.2.10.6-RELEASE.exe
282922568,7.997003629959673,3239571,4.659280091547128,6.748278735648908,237,1,1,0,,PowerToys_v0.87.0_PowerToysSetup-0.87.0-arm64.exe
4704376,7.980979172263416,54905,4.280060038909417,6.4174599871908855,164,0,0,0,,notepad-plus-plus_v8.5.6_npp.8.5.6.Installer.x64.exe
6493888,7.988921756528482,76523,4.279725401097165,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.7.2_npp.8.7.2.Installer.exe
10705448,7.998125451361719,126951,2.919342450828716,6.3752135040515485,122,1,0,0,,WinMerge-2.16.48.2-Setup.exe
275096392,7.998914328336695,3198719,4.6579754934589594,6.748278735648908,237,1,1,0,,PowerToys_v0.85.1_PowerToysSetup-0.85.1-x64.exe
25585,5.3284052965981035,293,,,,,,0,,portableapps_com_3b6e7e17_.exe
4840120,7.981945337277555,56461,4.280059104210972,6.4174599871908855,164,0,0,0,,notepad-plus-plus_v8.6.2_npp.8.6.2.Installer.x64.exe
401598880,7.998856935249277,4665588,4.660562432877882,6.748278735648908,237,1,1,0,,PowerToys_v0.90.0_PowerToysUserSetup-0.90.0-x64.exe
4844824,7.981889589353985,56876,4.2800571470020445,6.4174599871908855,164,0,0,0,,notepad-plus-plus_v8.6.4_npp.8.6.4.Installer.x64.exe
25534,5.327635969481513,293,,,,,,0,,portableapps_com_c6d67311_.exe
6651952,7.989251643735899,78011,4.279725401097165,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.7.2_npp.8.7.2.Installer.x64.exe
6459184,7.988732157002397,76005,4.279724916830299,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.7.1_npp.8.7.1.Installer.exe
397573624,7.9968758804566455,4549109,4.6591973752482305,6.748278735648908,237,1,1,0,,PowerToys_v0.90.0_PowerToysUserSetup-0.90.0-arm64.exe
4522448,7.979683536825978,52662,4.280059104210972,6.4174599871908855,164,0,0,0,,notepad-plus-plus_v8.6.2_npp.8.6.2.Installer.arm64.exe
6824080,7.989711533359945,79810,4.279724881251898,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.8.1_npp.8.8.1.Installer.x64.exe
6494160,7.988904570401263,76375,4.279722274254895,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.7.3_npp.8.7.3.Installer.exe
6637056,7.989394973427714,77876,4.2797046854309135,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.7_npp.8.7.Installer.x64.exe
279761984,7.997061114767127,3209913,4.659853199240165,6.748278735648908,237,1,1,0,,PowerToys_v0.86.0_PowerToysUserSetup-0.86.0-arm64.exe
121651,4.923373021999301,2794,,,,,,0,,Pidgin-OTR_Portable_4.0.2.paf.exe
25882,5.333942527753308,293,,,,,,0,,portableapps_com_3a5b1e70_.exe
40378368,7.998554228932415,468880,4.659132666657052,6.748278735648908,237,1,1,0,,PowerToys_v0.84.1_PowerToysSetup-0.84.1-x64.exe
122092,4.923598589335524,2794,,,,,,0,,jPortableBrowserSwitch_1.0_English.paf.exe
4695112,7.981026200710292,54830,4.279719218669259,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.6.6_npp.8.6.6.Installer.exe
270674144,7.996991537445709,3100973,4.660613001081512,6.748278735648908,237,1,1,0,,PowerToys_v0.85.1_PowerToysSetup-0.85.1-arm64.exe
6317248,7.988390951124653,74243,4.279725401097165,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.7.2_npp.8.7.2.Installer.arm64.exe
4471968,7.979437435190939,52264,4.280057803859329,6.4174599871908855,164,0,0,0,,notepad-plus-plus_v8.5.8_npp.8.5.8.Installer.arm64.exe
6703352,7.989535182918511,78775,4.2797303582396236,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.7.9_npp.8.7.9.Installer.x64.exe
6496448,7.988895741289266,76175,4.279723443888236,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.7.4_npp.8.7.4.Installer.exe
397572600,7.996876113766258,4548750,4.6605821264525344,6.748278735648908,237,1,1,0,,PowerToys_v0.90.0_PowerToysSetup-0.90.0-arm64.exe
6490760,7.988854959706848,76466,4.279728543314696,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.7.5_npp.8.7.5.Installer.exe
25864,5.328162089914655,293,,,,,,0,,portableapps_com_68a2af35_.exe
401311192,7.998853882032231,4659417,4.659287101447621,6.748278735648908,237,1,1,0,,PowerToys_v0.90.1_PowerToysUserSetup-0.90.1-x64.exe
284430936,7.997038897376267,3259461,4.661148574611496,6.748278735648908,237,1,1,0,,PowerToys_v0.89.0_PowerToysUserSetup-0.89.0-arm64.exe
4840624,7.981974555413039,56837,4.279717407423071,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.6.5_npp.8.6.5.Installer.x64.exe
6490352,7.988860493479721,75637,4.279724881251898,6.4378696011937135,162,0,0,0,,notepad-plus-plus_npp.8.8.1.Installer.arm64.exe
4642656,7.980631750745735,53898,4.280057803859329,6.4174599871908855,164,0,0,0,,notepad-plus-plus_v8.5.8_npp.8.5.8.Installer.exe
4319256,7.978111012152741,50552,4.280054125272721,6.4174599871908855,164,0,0,0,,notepad-plus-plus_v8.5.3_npp.8.5.3.Installer.arm64.exe
401309856,7.998853696864748,4659676,4.660032504925066,6.748278735648908,237,1,1,0,,PowerToys_v0.90.1_PowerToysSetup-0.90.1-x64.exe
282985168,7.997041266629836,3243370,4.6599574149556275,6.748278735648908,237,1,1,0,,PowerToys_v0.87.1_PowerToysSetup-0.87.1-arm64.exe
320646304,7.999929988566953,3824602,3.2113995889398623,6.357635049994181,142,1,0,0,,GIMP.exe
6490352,7.988860493479721,75637,4.279724881251898,6.4378696011937135,162,0,0,0,,npp.8.8.1.Installer.arm64.exe
4843360,7.9819796632394855,56688,4.280058619944105,6.4174599871908855,164,0,0,0,,notepad-plus-plus_v8.6.1_npp.8.6.1.Installer.x64.exe
