file_size,file_entropy,num_strings,mean_section_entropy,max_section_entropy,num_imports,suspicious_imports,crypto_api_detected,label
122204,4.924222143392348,2794,,,,,,0
122385,4.930468333647011,2797,,,,,,0
4521352,7.9798043287683775,52388,4.280058619944105,6.4174599871908855,164.0,0.0,0.0,0
284428680,7.997019392231537,3256272,4.660580200815801,6.748278735648908,237.0,1.0,1.0,0
287456352,7.998913018103903,3343693,4.6584846441653545,6.748278735648908,237.0,1.0,1.0,0
406183416,7.998846056644846,4716848,4.659253988421032,6.748278735648908,237.0,1.0,1.0,0
9230616,7.997583366862052,109533,2.9187498361992574,6.3752135040515485,122.0,1.0,0.0,0
655728,7.8961222966162845,7440,4.584406073885681,7.238721312663817,164.0,0.0,0.0,0
6808184,7.98971306867737,79870,4.279704649852514,6.4378696011937135,162.0,0.0,0.0,0
4816456,7.981795124461489,55731,4.280038388544722,6.4174599871908855,164.0,0.0,0.0,0
6824080,7.989711533359945,79810,4.279724881251898,6.4378696011937135,162.0,0.0,0.0,0
123098,4.9312836200325165,2795,,,,,,0
288668408,7.9989098319350385,3354657,4.659663920032966,6.748278735648908,237.0,1.0,1.0,0
25267,5.315842047191837,293,,,,,,0
4572328,7.980175474831687,53317,4.280060058559463,6.4174599871908855,164.0,0.0,0.0,0
2072576,7.931221793615672,23244,4.279704649852514,6.4378696011937135,162.0,0.0,0.0,0
4381176,7.978829487298547,50842,4.280060038909417,6.4174599871908855,164.0,0.0,0.0,0
3036304,7.9817525231282005,36351,4.138478386101841,6.46079318722629,117.0,0.0,0.0,0
400858256,7.996900683161192,4588852,4.659299575716588,6.748278735648908,237.0,1.0,1.0,0
4497336,7.979668353548597,52591,4.280038388544722,6.4174599871908855,164.0,0.0,0.0,0
1489936,7.972916637054655,17473,4.58514349121112,7.272977969027989,166.0,0.0,0.0,0
275100840,7.99890525280118,3198625,4.659359492585696,6.748278735648908,237.0,1.0,1.0,0
11224968,7.998299693703367,133550,2.9193544770659785,6.3752135040515485,122.0,1.0,0.0,0
4514072,7.979611271023724,52322,4.2800571470020445,6.4174599871908855,164.0,0.0,0.0,0
433328,7.776416325728238,4689,4.586861767210128,7.866475144296684,171.0,0.0,0.0,0
282915944,7.99702214394721,3239551,4.660499507009491,6.748278735648908,237.0,1.0,1.0,0
6317888,7.988333990132027,74197,4.279722274254895,6.4378696011937135,162.0,0.0,0.0,0
6490352,7.988860493479721,75637,4.279724881251898,6.4378696011937135,162.0,0.0,0.0,0
288243088,7.9989178371853535,3348376,4.6566463507061995,6.748278735648908,237.0,1.0,1.0,0
6659856,7.989291504307191,78444,4.279730373682603,6.4378696011937135,162.0,0.0,0.0,0
287457208,7.998913669264627,3343381,4.659692365687907,6.748278735648908,237.0,1.0,1.0,0
4504688,7.979591348284468,52002,4.279719218669259,6.4378696011937135,162.0,0.0,0.0,0
400954408,7.996896010305019,4589511,4.661143953057451,6.748278735648908,237.0,1.0,1.0,0
6661560,7.989321616859142,78240,4.279730395410678,6.4378696011937135,162.0,0.0,0.0,0
287420248,7.9989140713661095,3342979,4.655745623076645,6.748278735648908,237.0,1.0,1.0,0
25487,5.323159207620864,293,,,,,,0
6695632,7.9893670379238575,78361,4.279728171963237,6.4378696011937135,162.0,0.0,0.0,0
6616496,7.989146941886704,77721,4.279724916830299,6.4378696011937135,162.0,0.0,0.0,0
6649056,7.989284753269332,78518,4.279728543314696,6.4378696011937135,162.0,0.0,0.0,0
6484488,7.98889106424904,76471,4.2797046854309135,6.4378696011937135,162.0,0.0,0.0,0
4670120,7.980845840020637,54553,4.280038388544722,6.4174599871908855,164.0,0.0,0.0,0
4414224,7.979023478655954,51527,4.280056838525944,6.4174599871908855,164.0,0.0,0.0,0
4652656,7.9807106936678895,54453,4.279717036071612,6.4378696011937135,162.0,0.0,0.0,0
270632208,7.996996633575576,3101087,4.659284636006345,6.748278735648908,237.0,1.0,1.0,0
288241952,7.998921219184005,3346376,4.6606469153060095,6.748278735648908,237.0,1.0,1.0,0
6533408,7.9888678062897185,76504,4.279728171963237,6.4378696011937135,162.0,0.0,0.0,0
406182128,7.998846138994645,4717151,4.661301477507771,6.748278735648908,237.0,1.0,1.0,0
4985152,7.982823315924533,58428,4.279717036071612,6.4378696011937135,162.0,0.0,0.0,0
